hd,rno,combo,payout
20260501,1,4-3-1,3040
20260501,2,4-3-2,3040
20260501,3,5-2-4,34930
20260501,4,4-1-5,5630
20260501,5,4-2-6,16990
20260501,6,2-5-1,32390
20260501,7,1-3-4,1020
20260501,8,1-5-4,920
20260501,9,2-1-6,2010
20260501,10,1-5-2,2820
20260501,11,1-2-5,860
20260501,12,1-6-4,1270
20260502,1,6-3-5,8580
20260502,2,1-2-6,2900
20260502,3,4-3-5,4310
20260502,4,6-1-2,4460
20260502,5,3-2-1,2040
20260502,6,1-5-2,1080
20260502,7,1-2-5,19660
20260502,8,2-5-1,2420
20260502,9,2-1-5,1160
20260502,10,2-1-5,990
20260502,11,1-3-6,2370
20260502,12,1-4-2,1950
20260503,1,4-3-5,640
20260503,2,3-5-2,10530
20260503,3,6-1-5,15740
20260503,4,6-2-1,7540
20260503,5,1-6-5,39600
20260503,6,1-4-5,900
20260503,7,3-6-1,1090
20260503,8,2-1-5,910
20260503,9,4-5-6,4470
20260503,10,4-5-2,4420
20260503,11,1-2-4,1180
20260503,12,1-3-6,2380
20260504,1,2-1-3,2610
20260504,2,1-4-2,10390
20260504,3,3-5-6,1110
20260504,4,2-4-5,1540
20260504,5,5-1-3,2050
20260504,6,1-2-4,1100
20260505,1,3-1-5,2310
20260505,2,6-2-1,1180
20260505,3,1-3-6,2490
20260505,4,2-3-5,1250
20260505,5,1-4-5,1160
20260505,6,3-5-1,8510
20260505,7,1-3-5,570
20260505,8,5-6-4,27400
20260505,9,3-1-4,18200
20260505,10,2-3-6,10610
20260505,11,1-3-5,660
20260505,12,5-1-2,11830
20260506,1,1-2-5,850
20260506,2,1-2-3,870
20260506,3,1-3-2,670
20260506,4,1-2-3,1000
20260506,5,1-3-4,1640
20260506,6,1-6-4,1600
20260506,7,1-2-6,1200
20260506,8,1-5-2,600
20260506,9,1-3-5,2750
20260506,10,1-3-5,3780
20260506,11,4-1-2,11360
20260506,12,1-2-3,550
20260512,1,1-3-5,3020
20260512,2,5-4-1,47810
20260512,3,1-5-4,26180
20260512,4,1-2-5,4710
20260512,5,1-4-2,1890
20260512,6,1-2-4,1160
20260512,7,1-4-2,4030
20260512,8,5-4-6,5980
20260512,9,1-3-2,810
20260512,10,1-5-6,5080
20260512,11,1-2-5,2690
20260512,12,5-1-2,6610
