場名,場コード,開催日,レース,枠,登録番号,級別,氏名,F数,L数,平均ST,全国勝率,全国2連率,全国3連率,当地勝率,当地2連率,当地3連率,モーターNo,モーター2連率,モーター3連率,ボートNo,ボート2連率,ボート3連率,1日目成績,2日目成績,3日目成績,4日目成績,5日目成績,6日目成績,支部,出身,年齢,締切時刻,節名,企画名,日目
桐生,01,20260718,1R,1,3293,B1,宮内　由紀英,0,0,0.20,3.33,9.21,22.37,4.21,10.53,42.11,69,39.10,59.40,11,29.58,54.93,6R/2/.24/5,1R/5/.16/2 7R/4/.28/5,5R/1/.25/6,1R/3/.11/4 7R/6/.23/4,,,東京,東京,60,15:24,第４８回デイリースポーツ杯,一般,５日目
桐生,01,20260718,1R,2,4023,B1,柴田　　友和,0,0,0.17,3.93,19.28,32.53,4.30,15.00,35.00,49,36.00,49.33,24,36.05,55.78,2R/4/.27/5 6R/3/.22/2,3R/1/.19/4,3R/5/.17/4 8R/2/.15/2,6R/6/.14/5,,,福岡,福岡,48,15:24,第４８回デイリースポーツ杯,一般,５日目
桐生,01,20260718,1R,3,3963,A2,原田　　秀弥,0,0,0.17,5.77,36.54,61.54,5.38,27.59,62.07,38,41.18,59.66,18,28.97,41.38,1R/2/.16/1 9R/6/.43/6,9R/5/.26/6,7R/1/.26/3 11R/3/.51/3,2R/4/.13/4,,,大阪,奈良,47,15:24,第４８回デイリースポーツ杯,一般,５日目
桐生,01,20260718,1R,4,5439,B2,志賀　　美優,0,0,0.21,1.49,1.49,2.99,0.00,0.00,0.00,42,27.78,39.68,65,23.40,38.30,8R/6/.23/6,1R/6/.19/3 5R/6/.16/6,7R/6/.32/6,4R/5/.27/5 8R/6/.18/6,,,愛知,愛知,20,15:24,第４８回デイリースポーツ杯,一般,５日目
桐生,01,20260718,1R,5,3505,A2,山田　　竜一,0,0,0.14,5.45,34.48,54.02,6.45,55.00,65.00,70,36.81,50.69,48,39.04,54.79,9R/2/.14/2,3R/5/.15/5 10R/1/.35/5,3R/3/.19/5,1R/6/.21/5 9R/4/.22/4,,,東京,東京,55,15:24,第４８回デイリースポーツ杯,一般,５日目
桐生,01,20260718,1R,6,3502,A2,渡邉　　英児,0,0,0.16,6.01,42.05,67.05,3.75,25.00,25.00,21,32.26,48.39,74,33.57,53.57,10R/3/.11/3,4R/4/.01/1 8R/1/.18/3,5R/2/.28/5 12R/6/.18/6,8R/5/.11/3,,,静岡,静岡,57,15:24,第４８回デイリースポーツ杯,一般,５日目
桐生,01,20260718,2R,1,4846,B1,佐藤　　駿介,0,0,0.17,4.48,25.00,42.05,4.31,18.75,37.50,15,42.16,56.86,71,33.33,47.22,4R/1/.15/1 8R/4/.22/3,3R/3/.11/2 12R/6/.17/4,9R/5/.10/3,1R/2/.10/6,,,山口,山口,32,15:50,第４８回デイリースポーツ杯,一般,５日目
桐生,01,20260718,2R,2,3303,B1,渡辺　　　豊,0,0,0.20,4.59,22.73,41.82,5.02,33.33,50.00,37,31.94,50.69,20,30.61,46.94,3R/6/.15/6 8R/3/.24/1,5R/2/.19/5,4R/1/.17/5 10R/5/.27/6,5R/4/.11/2,,,東京,神奈川,58,15:50,第４８回デイリースポーツ杯,一般,５日目
桐生,01,20260718,2R,3,4888,B1,金児　　隆太,0,0,0.19,4.96,31.58,43.42,5.38,32.50,51.67,48,31.17,52.60,43,26.39,43.06,10R/4/.12/4,2R/4/.19/2 8R/3/.14/5,3R/2/.21/1 9R/1/.10/4,6R/4/.06/1,,,群馬,長野,38,15:50,第４８回デイリースポーツ杯,一般,５日目
桐生,01,20260718,2R,4,4706,A2,三浦　洋次朗,1,0,0.17,5.86,42.24,56.03,5.04,22.22,44.44,43,25.42,48.31,68,29.14,45.03,1R/4/.22/2 10R/6/.13/5,7R/1/.26/2,2R/5/.22/2 9R/3/.12/6,10R/2/.13/5,,,愛知,愛知,37,15:50,第４８回デイリースポーツ杯,一般,５日目
